epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2132.32,1.60808,0.78713,0.00114,0.60349,0.59938,0.6024,0.34232,1.94661,1.20008,0.00161,0.000203436,0.000203436,0.000203436
89,2161.53,1.60307,0.7785,0.00109,0.64872,0.57554,0.59363,0.33187,1.88377,1.16449,0.00157,0.000198632,0.000198632,0.000198632
90,2182.76,1.56812,0.73253,0.0011,0.61558,0.60846,0.60896,0.34133,1.92259,1.18722,0.00156,0.000193855,0.000193855,0.000193855
91,2204.01,1.59699,0.72214,0.0011,0.60304,0.62428,0.60346,0.33574,1.89916,1.18567,0.00158,0.000189108,0.000189108,0.000189108
92,2225.32,1.59704,0.71083,0.00118,0.62938,0.60007,0.60677,0.34908,1.90121,1.18753,0.00157,0.000184394,0.000184394,0.000184394
93,2246.47,1.56097,0.70934,0.00105,0.64235,0.57225,0.59491,0.34127,1.90264,1.15035,0.00162,0.000179714,0.000179714,0.000179714
94,2267.64,1.56146,0.69646,0.00103,0.62349,0.61216,0.605,0.339,1.90466,1.16816,0.00157,0.00017507,0.00017507,0.00017507
95,2288.79,1.56344,0.69783,0.0011,0.6402,0.59969,0.60064,0.33721,1.94453,1.15923,0.00158,0.000170465,0.000170465,0.000170465
96,2309.92,1.56522,0.71856,0.00107,0.67986,0.58639,0.60246,0.33814,1.91285,1.22935,0.00156,0.0001659,0.0001659,0.0001659
97,2344.7,1.53748,0.68145,0.00106,0.63895,0.60041,0.60265,0.33426,1.89569,1.1496,0.00157,0.000161377,0.000161377,0.000161377
98,2365.98,1.53153,0.66861,0.00105,0.64723,0.59364,0.61527,0.34288,1.88612,1.14481,0.00156,0.000156899,0.000156899,0.000156899
99,2387.18,1.54447,0.69638,0.00117,0.6482,0.57742,0.60381,0.33919,1.87916,1.17027,0.00157,0.000152467,0.000152467,0.000152467
100,2408.18,1.54393,0.67586,0.00108,0.66204,0.57586,0.60425,0.33326,1.95788,1.1999,0.0016,0.000148084,0.000148084,0.000148084
101,2429.21,1.53161,0.68647,0.00116,0.65932,0.56476,0.59363,0.33155,1.93642,1.20319,0.00158,0.00014375,0.00014375,0.00014375
102,2450.44,1.52881,0.6602,0.00099,0.66522,0.58642,0.60752,0.34393,1.90415,1.18149,0.00159,0.000139469,0.000139469,0.000139469
103,2471.68,1.53735,0.66361,0.00108,0.65954,0.59761,0.60874,0.3494,1.87433,1.14533,0.00154,0.000135241,0.000135241,0.000135241
104,2492.92,1.5409,0.65034,0.001,0.66452,0.59302,0.61727,0.34992,1.90484,1.12112,0.00157,0.00013107,0.00013107,0.00013107
105,2514.09,1.51479,0.66212,0.00106,0.68853,0.58329,0.6102,0.34354,1.93069,1.16076,0.00155,0.000126956,0.000126956,0.000126956
106,2542.73,1.52619,0.6365,0.00101,0.70402,0.57435,0.61393,0.34578,1.89666,1.17134,0.00151,0.000122901,0.000122901,0.000122901
107,2563.89,1.4901,0.64591,0.00099,0.69239,0.57749,0.60989,0.34748,1.86814,1.16531,0.00152,0.000118908,0.000118908,0.000118908
108,2585.09,1.49467,0.62136,0.00102,0.62762,0.61906,0.61324,0.34531,1.90036,1.16782,0.00153,0.000114977,0.000114977,0.000114977
109,2606.33,1.51182,0.62555,0.00102,0.64728,0.61018,0.61778,0.34579,1.89016,1.15253,0.00154,0.000111112,0.000111112,0.000111112
110,2627.53,1.50594,0.61951,0.00105,0.6689,0.60977,0.61863,0.34619,1.8979,1.15488,0.00155,0.000107313,0.000107313,0.000107313
111,2648.78,1.49485,0.62811,0.00103,0.63634,0.63476,0.61898,0.3464,1.85901,1.15749,0.00155,0.000103581,0.000103581,0.000103581
112,2669.98,1.48484,0.59207,0.001,0.6944,0.5692,0.61669,0.35229,1.84384,1.15992,0.00151,9.99201e-05,9.99201e-05,9.99201e-05
113,2691.51,1.46499,0.60136,0.00094,0.66395,0.58712,0.60931,0.34289,1.8707,1.21386,0.00153,9.633e-05,9.633e-05,9.633e-05
114,2712.7,1.50778,0.59336,0.00096,0.61692,0.61485,0.60024,0.33583,1.92362,1.18889,0.0016,9.28127e-05,9.28127e-05,9.28127e-05
115,2757.44,1.49301,0.57634,0.00092,0.64694,0.596,0.5984,0.34049,1.94734,1.18578,0.0016,8.937e-05,8.937e-05,8.937e-05
116,2778.64,1.45333,0.60056,0.00102,0.63486,0.62455,0.61363,0.34573,1.88281,1.20074,0.00155,8.60031e-05,8.60031e-05,8.60031e-05
117,2799.79,1.5007,0.6038,0.00102,0.66629,0.58556,0.61535,0.35071,1.89361,1.1913,0.00156,8.27137e-05,8.27137e-05,8.27137e-05
118,2820.96,1.48448,0.57976,0.00095,0.6514,0.60108,0.61586,0.34561,1.8891,1.19242,0.00157,7.95031e-05,7.95031e-05,7.95031e-05
119,2847.8,1.46304,0.58738,0.00089,0.64079,0.58582,0.6078,0.3451,1.87472,1.18309,0.00154,7.63728e-05,7.63728e-05,7.63728e-05
120,2870.93,1.47431,0.58703,0.00097,0.66426,0.59198,0.61728,0.35257,1.85577,1.2079,0.00153,7.33241e-05,7.33241e-05,7.33241e-05
121,2892.25,1.45631,0.59955,0.00096,0.66117,0.58811,0.61152,0.34591,1.91509,1.2077,0.00155,7.03585e-05,7.03585e-05,7.03585e-05
122,2913.31,1.43931,0.58277,0.00094,0.6429,0.60169,0.61009,0.34478,1.87927,1.18988,0.00155,6.74771e-05,6.74771e-05,6.74771e-05
123,2934.46,1.4314,0.56345,0.00085,0.65007,0.58568,0.60155,0.34693,1.86869,1.19932,0.00155,6.46812e-05,6.46812e-05,6.46812e-05
124,2970.97,1.43101,0.56121,0.00097,0.66249,0.58315,0.60029,0.34933,1.84898,1.17089,0.00156,6.19721e-05,6.19721e-05,6.19721e-05
125,2992.21,1.42533,0.55331,0.00091,0.66199,0.59527,0.60797,0.3492,1.89969,1.19575,0.00158,5.9351e-05,5.9351e-05,5.9351e-05
126,3013.44,1.43303,0.54931,0.00099,0.65851,0.59129,0.6074,0.34577,1.93092,1.20829,0.00156,5.6819e-05,5.6819e-05,5.6819e-05
127,3034.66,1.44852,0.55764,0.00101,0.64929,0.6066,0.611,0.34922,1.90336,1.17139,0.00155,5.43772e-05,5.43772e-05,5.43772e-05
128,3076.21,1.39934,0.53335,0.00091,0.66888,0.59503,0.60644,0.3477,1.88456,1.18625,0.00155,5.20266e-05,5.20266e-05,5.20266e-05
129,3115.36,1.40477,0.531,0.00084,0.63221,0.61143,0.60681,0.34404,1.93323,1.17455,0.00158,4.97685e-05,4.97685e-05,4.97685e-05
130,3136.52,1.42221,0.55052,0.00083,0.63701,0.62113,0.61012,0.34492,1.89018,1.17148,0.00158,4.76036e-05,4.76036e-05,4.76036e-05
131,3166.19,1.40711,0.55096,0.00085,0.6544,0.60363,0.61033,0.34396,1.90917,1.16604,0.00157,4.5533e-05,4.5533e-05,4.5533e-05
132,3187.22,1.40818,0.52723,0.0009,0.6401,0.60928,0.6099,0.34941,1.88854,1.17617,0.00155,4.35575e-05,4.35575e-05,4.35575e-05
133,3208.38,1.41942,0.54199,0.00086,0.61712,0.6265,0.61494,0.34789,1.90519,1.18269,0.00156,4.16781e-05,4.16781e-05,4.16781e-05
134,3229.48,1.41816,0.54414,0.00086,0.61735,0.62215,0.61521,0.34734,1.91103,1.18567,0.00157,3.98955e-05,3.98955e-05,3.98955e-05
135,3250.53,1.40683,0.52334,0.00086,0.67074,0.56524,0.60984,0.34763,1.8926,1.19805,0.00154,3.82106e-05,3.82106e-05,3.82106e-05
136,3271.57,1.396,0.53887,0.00084,0.6501,0.5828,0.61013,0.34816,1.87391,1.18674,0.00154,3.66241e-05,3.66241e-05,3.66241e-05
137,3292.81,1.37843,0.51716,0.0009,0.65807,0.58392,0.61029,0.34906,1.90001,1.19002,0.00155,3.51366e-05,3.51366e-05,3.51366e-05
138,3313.93,1.40174,0.52424,0.0009,0.66834,0.57608,0.61102,0.3516,1.89228,1.21333,0.00156,3.37489e-05,3.37489e-05,3.37489e-05
139,3335.09,1.38735,0.52312,0.00095,0.65423,0.58401,0.6111,0.35066,1.89512,1.22595,0.00154,3.24615e-05,3.24615e-05,3.24615e-05
140,3356.31,1.40611,0.52942,0.00087,0.67867,0.57827,0.61499,0.35052,1.89806,1.18813,0.00156,3.1275e-05,3.1275e-05,3.1275e-05
141,3380.1,1.40884,0.53282,0.00087,0.65481,0.59101,0.60805,0.34827,1.89135,1.19049,0.00158,3.01899e-05,3.01899e-05,3.01899e-05
142,3401.25,1.38809,0.5202,0.0009,0.6374,0.60918,0.60445,0.34603,1.88252,1.21442,0.00158,2.92068e-05,2.92068e-05,2.92068e-05
143,3422.68,1.41118,0.53732,0.00089,0.63222,0.6146,0.60329,0.34365,1.90024,1.2051,0.0016,2.83259e-05,2.83259e-05,2.83259e-05
144,3444.01,1.42163,0.53422,0.00092,0.63937,0.61618,0.6074,0.3456,1.90597,1.19923,0.00163,2.75478e-05,2.75478e-05,2.75478e-05
145,3465.24,1.38135,0.51435,0.00087,0.63341,0.60529,0.6053,0.34573,1.89863,1.20647,0.00163,2.68728e-05,2.68728e-05,2.68728e-05
146,3486.43,1.39636,0.5204,0.00077,0.6288,0.60553,0.60484,0.34325,1.91555,1.21458,0.00163,2.6301e-05,2.6301e-05,2.6301e-05
147,3507.5,1.375,0.51135,0.00087,0.63829,0.61292,0.60368,0.34316,1.93004,1.2081,0.00161,2.58329e-05,2.58329e-05,2.58329e-05
148,3551.07,1.39412,0.51041,0.00085,0.63639,0.60886,0.60388,0.34631,1.91363,1.21562,0.00158,2.54687e-05,2.54687e-05,2.54687e-05
149,3572.01,1.38043,0.50835,0.00088,0.629,0.60361,0.60343,0.3468,1.88192,1.21867,0.00158,2.52083e-05,2.52083e-05,2.52083e-05
150,3601.56,1.37168,0.52401,0.00085,0.63958,0.60807,0.60648,0.34653,1.88765,1.22167,0.00157,2.50521e-05,2.50521e-05,2.50521e-05
